Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 119
Z Slope: 0.925
Z Phase: -8.0
CI: 0.984
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:44:36        20       60     50.0     0.00      116    0.68     177       0.2      3.92       33       12       33      0.0    24.0    34.7    34.8    34.8    36.4    36.3    36.5    36.5       8       28       23   0.000
08:44:36        20       60     50.0     1.00      113   13.19    3950      50.1     75.73      681      256      682     14.0    25.8    44.5    44.7    45.6    48.5    48.2    48.7    48.7       8       28       35   0.057
08:44:37        20       60     50.0     2.00      107   13.10    3983      50.1     75.79      687      258      689     16.1    25.7    47.8    47.4    49.2    50.4    50.2    53.1    53.1       8       28       35   0.508
08:44:38        20       60     50.0     3.00      107   13.09    3987      50.1     75.18      684      281      689     13.1    27.4    46.8    48.4    45.0    46.0    47.3    48.7    48.7       8       28       35   0.972
08:44:39        20       60     50.0     4.00      107   13.20    3937      50.0     77.28      676      261      680     16.8    25.9    45.7    44.2    44.2    45.5    46.7    46.7    46.8       8       29       35   1.444
08:44:40        20       60     50.0     5.00      107   13.22    3935      50.0     77.12      681      264      677     17.8    21.8    46.6    45.4    46.6    46.3    48.1    47.7    48.1       8       29       35   1.910
08:44:41        20       60     50.0     6.00      108   13.19    3963      50.2     75.95      682      263      657     14.3    24.2    46.7    46.6    45.8    46.7    47.9    47.9    48.0       8       29       35   2.381
08:44:42        20       60     50.0     7.00      107   13.06    4010      50.1     75.60      691      268      694     16.6    25.6    48.3    47.5    44.3    44.9    46.6    47.4    48.3       8       29       35   2.841
08:44:43        20       60     50.0     8.00      104   12.97    4040      50.0     74.62      695      273      706     15.3    22.0    52.1    50.2    47.5    45.6    48.5    48.2    52.1       8       29       35   3.311
08:44:44        20       60     50.0     9.00      103   12.96    4046      50.1     74.18      694      308      713     13.6    24.1    54.1    50.9    48.0    44.7    47.8    45.9    54.1       8       29       35   3.798
08:44:45        20       60     50.0    10.00      102   12.87    4090      50.1     73.67      709      313      708     16.6    23.9    55.3    51.8    49.7    50.3    50.5    52.1    55.3       8       29       35   4.286
08:44:46        20       60     50.0    11.00      101   12.95    4045      50.0     74.39      694      313      703     14.4    24.1    53.6    50.4    48.2    45.0    47.7    47.0    53.6       8       30       35   4.774
08:44:47        20       60     50.0    12.00      103   12.95    4060      50.1     74.79      700      306      720     16.9    22.3    54.7    51.0    48.1    44.7    48.7    47.2    54.7       8       30       35   5.264
