Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 134
Z Slope: 0.890
Z Phase: -8.9
CI: 1.777
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:41:39        20       60     50.0     0.00      107    0.66     194       0.2      3.87       35       13       35      0.0    24.2    34.6    35.2    34.9    36.5    36.2    36.3    36.5       8       16       35  12.630
08:41:40        20       60     50.0     1.00      101   12.75    4135      50.0     73.12      710      310      705     15.7    24.8    45.5    48.4    44.0    42.6    45.1    45.4    48.4       8       16       35  12.736
08:41:41        20       60     50.0     2.00      101   12.87    4087      50.1     74.68      705      276      690     17.7    21.1    48.6    45.4    47.3    43.5    46.9    47.4    48.6       8       16       35  13.235
08:41:42        20       60     50.0     3.00      102   12.89    4072      50.0     73.16      699      312      687     12.1    25.5    51.5    47.6    50.1    41.8    45.3    44.9    51.5       8       16       35  13.724
08:41:43        20       60     50.0     4.00      101   12.94    4049      50.0     74.97      688      292      689     14.2    24.0    52.8    51.2    51.0    41.9    45.4    45.3    52.8       8       16       35  13.777
08:41:44        20       60     50.0     5.00      101   12.65    4016      48.4     73.53      691      302      702     17.6    26.3    54.1    59.9    55.6    43.2    47.8    47.2    59.9       8       16       35  13.788
08:41:45        20       60     50.0     6.00      101   12.83    4092      50.0     74.03      703      301      685     16.2    25.4    52.7    57.4    52.9    43.0    47.1    46.4    57.4       8       17       35  13.789
08:41:46        20       60     50.0     7.00      102   12.86    4089      50.0     73.35      704      286      700     14.2    23.7    49.8    55.4    49.7    43.1    47.2    47.0    55.4       8       17       35  13.765
08:41:47        20       60     50.0     8.00      103   12.96    4051      50.1     75.45      699      287      688     18.3    24.1    40.8    50.8    40.3    42.0    44.6    44.3    50.8       8       17       35  13.744
08:41:48        20       60     50.0     9.00      100   12.96    4039      50.0     75.22      690      276      687     15.4    25.6    41.5    52.1    40.5    43.2    45.4    45.0    52.1       8       17       35  13.754
08:41:49        20       60     50.0    10.00       97   12.73    4139      49.8     72.12      711      297      721     13.9    26.1    42.9    52.5    42.1    44.7    48.6    46.5    52.5       8       17       35  13.748
08:41:50        20       60     50.0    11.00       97   12.69    4177      50.0     72.27      715      261      727     14.4    23.7    42.0    50.5    40.8    43.7    46.0    46.5    50.5       8       17       35  13.764
