Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 133
Z Slope: 0.879
Z Phase: -9.6
CI: 2.063
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:43:05        20       60     50.0     0.00      116    0.68     183       0.2      3.85       33       11       34      0.0    24.1    34.6    34.7    34.6    36.5    36.3    36.4    36.5       8       24       35  13.592
08:43:06        20       60     50.0     1.00      108   13.19    3959      50.1     77.41      681      260      671     18.2    23.8    48.0    47.0    46.9    45.1    45.9    48.4    48.4       8       24       35  13.109
08:43:07        20       60     50.0     2.00      106   13.07    3997      50.0     74.43      691      296      682     13.6    27.0    51.5    49.8    50.1    46.4    47.9    50.9    51.5       8       24       35  13.037
08:43:08        20       60     50.0     3.00      104   12.95    4060      50.1     72.80      693      279      708      7.2    25.5    55.1    52.4    51.1    46.6    50.4    49.8    55.1       8       24       35  13.014
08:43:09        20       60     50.0     4.00      103   13.02    4025      50.0     74.04      692      301      716     12.3    24.4    55.3    51.4    51.1    44.8    46.9    48.9    55.3       8       24       35  13.003
08:43:10        20       60     50.0     5.00      102   12.90    4069      49.9     74.17      697      316      709     15.2    22.2    56.0    52.6    51.8    44.6    48.5    47.5    56.0       8       24       35  13.005
08:43:11        20       60     50.0     6.00      102   12.95    4059      50.0     73.23      701      329      700     13.2    24.5    56.8    53.1    52.1    44.8    47.2    48.5    56.8       8       24       35  12.996
08:43:12        20       60     50.0     7.00      101   12.93    4063      50.0     73.82      702      305      697     15.2    26.1    57.9    52.9    52.1    43.8    46.2    47.7    57.9       8       24       35  12.997
08:43:13        20       60     50.0     8.00      102   12.97    4055      50.1     75.86      696      311      693     18.3    25.3    53.0    53.1    52.7    43.8    47.2    47.1    53.1       8       25       35  12.997
08:43:14        20       60     50.0     9.00      101   12.90    4079      50.0     73.67      699      320      692     13.6    23.2    50.1    50.0    50.9    42.8    45.0    43.8    50.9       8       25       35  12.994
08:43:15        20       60     50.0    10.00      101   12.96    4059      50.1     75.52      700      323      717     18.8    22.3    51.7    51.9    52.4    44.8    46.9    48.1    52.4       8       25       35  12.971
08:43:16        20       60     50.0    11.00      102   12.90    4078      50.0     74.93      701      297      708     17.8    26.4    51.8    51.5    52.5    43.7    46.1    46.6    52.5       8       25       35  12.973
