Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 118
Z Slope: 0.888
Z Phase: -7.7
CI: 0.833
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:42:03        20       60     50.0     0.00      110    0.68     189       0.2      3.90       34       12       35      0.0    24.1    34.6    34.6    34.7    36.4    36.1    36.2    36.4       8       18       35  11.026
08:42:04        20       60     50.0     1.00      103   12.90    4064      50.1     74.29      704      273      684     16.9    28.1    47.1    44.5    46.7    42.1    44.4    45.3    47.1       8       18       35  11.278
08:42:05        20       60     50.0     2.00      102   12.85    4103      50.1     73.74      708      301      712     16.3    26.2    50.7    47.6    49.4    42.6    45.2    45.8    50.7       8       18       35  11.761
08:42:06        20       60     50.0     3.00       99   12.83    4100      50.0     72.65      706      329      702     13.0    25.8    52.1    50.5    50.0    42.6    46.3    46.4    52.1       8       18       35  12.256
08:42:07        20       60     50.0     4.00      100   12.87    4075      50.0     74.57      706      256      706     18.1    23.1    43.3    43.6    43.4    43.7    44.4    45.1    45.1       8       19       35  12.754
08:42:08        20       60     50.0     5.00      101   12.93    4077      50.1     72.75      695      304      699      7.5    25.1    41.5    45.5    39.6    42.2    44.0    43.8    45.5       8       19       35  13.249
08:42:09        20       60     50.0     6.00      101   12.82    4104      49.9     73.53      703      301      714     15.0    23.0    42.7    46.9    39.1    41.7    44.3    44.4    46.9       8       19       35  13.735
08:42:10        20       60     50.0     7.00      100   12.85    4117      50.4     73.72      712      304      697     16.4    21.2    43.6    47.3    41.9    44.2    47.6    47.2    47.7       8       19       35  14.233
08:42:11        20       60     50.0     8.00      100   12.76    4136      49.9     72.79      714      309      707     16.2    24.4    46.1    50.9    42.7    42.5    45.7    45.3    50.9       8       19       35  14.727
08:42:12        20       60     50.0     9.00      101   12.90    4086      50.1     73.25      705      306      693     13.8    23.4    47.1    49.9    44.4    42.5    45.9    46.2    49.9       8       19       35  15.222
08:42:13        20       60     50.0    10.00      100   12.80    4119      49.9     72.21      707      285      732     12.0    25.3    40.8    47.7    39.3    42.2    43.8    43.9    47.7       8       19       35  15.714
08:42:14        20       60     50.0    11.00       98   12.89    4086      50.1     73.01      708      288      698     14.5    25.4    42.0    43.8    42.5    43.5    45.2    45.9    45.9       8       19       35  16.228
08:42:15        20       60     50.0    12.00      100   12.77    4135      50.0     72.95      710      335      732     15.1    21.7    42.6    46.4    41.9    42.8    45.2    44.9    46.4       8       20       35  16.721
08:42:16        20       60     50.0    13.00       98   12.85    4101      50.0     73.22      705      317      720     14.3    24.0    42.6    48.9    40.7    42.3    45.4    45.1    48.9       8       20       35  17.228
08:42:17        20       60     50.0    14.00       99   12.74    4146      50.0     73.38      714      270      704     17.6    24.7    41.1    45.5    39.7    41.9    44.5    44.6    45.5       8       20       35  17.493
08:42:18        20       60     50.0    15.00       98   12.77    4141      50.0     72.77      715      310      735     16.2    22.9    42.4    52.6    40.3    42.4    46.1    45.3    52.6       8       20       35  17.513
08:42:19        20       60     50.0    16.00       99   12.87    4100      50.1     73.86      700      314      726     14.3    23.0    42.0    49.1    40.0    42.1    44.9    45.3    49.1       8       20       35  17.533
08:42:20        20       60     50.0    17.00       98   12.87    4095      50.0     73.12      703      310      699     13.5    23.9    42.6    49.6    41.0    42.8    45.6    45.2    49.6       8       20       35  17.536
08:42:21        20       60     50.0    18.00       99   13.02    4068      50.5     75.24      697      297      702     15.7    23.9    40.2    47.0    39.7    42.2    45.2    44.6    47.0       8       20       35  17.554
