Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 129
Z Slope: 0.888
Z Phase: -8.6
CI: 1.447
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:42:34        20       60     50.0     0.00      111    0.67     186       0.2      3.82       34       12       34      0.0    24.0    34.4    34.4    34.4    36.2    35.9    36.0    36.2       8       21       16  14.758
08:42:35        20       60     50.0     1.00      106   13.00    4036      50.2     75.53      691      284      704     15.9    26.5    48.9    47.1    47.6    43.9    46.0    45.1    48.9       8       21       35  14.772
08:42:36        20       60     50.0     2.00      104   12.94    4057      50.1     74.34      701      314      710     16.1    27.2    52.2    51.3    51.3    43.4    45.7    46.5    52.2       8       21       35  15.244
08:42:37        20       60     50.0     3.00      101   12.88    4087      50.0     73.28      696      326      693     11.2    24.4    54.1    54.9    51.1    43.3    44.9    46.3    54.9       8       22       35  15.726
08:42:38        20       60     50.0     4.00       99   12.89    4084      50.1     74.09      706      327      688     16.8    22.2    53.3    56.1    49.8    42.1    44.5    45.6    56.1       8       22       35  16.215
08:42:39        20       60     50.0     5.00      102   12.84    4108      50.0     73.94      698      290      720     14.0    25.5    41.9    44.7    40.1    42.8    45.4    44.9    45.4       8       22       35  16.716
08:42:40        20       60     50.0     6.00      102   12.96    4043      50.0     75.11      696      275      719     17.1    21.7    48.4    47.8    43.3    41.6    46.0    44.7    48.4       8       22       35  17.207
08:42:41        20       60     50.0     7.00      103   12.95    4056      50.0     74.90      707      284      692     19.1    23.6    48.7    48.8    43.3    43.6    47.6    47.0    48.8       8       22       35  17.589
08:42:42        20       60     50.0     8.00      101   12.96    4047      50.1     73.87      703      299      731     15.5    22.9    50.3    48.5    44.7    45.6    48.1    48.9    50.3       8       22       35  17.577
08:42:43        20       60     50.0     9.00      101   13.05    4011      50.0     74.87      690      234      691     14.5    24.4    43.7    45.4    40.6    42.6    46.1    46.5    46.5       8       22       35  17.587
