Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 132
Z Slope: 0.889
Z Phase: -8.6
CI: 1.527
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:46:38        20       60     50.0     0.00      115    0.68     175       0.2      3.91       32       11       31      0.0    24.2    34.7    35.0    35.0    36.5    36.4    36.4    36.5       8       39       28   7.311
08:46:39        20       60     50.0     1.00      109   13.22    3931      50.0     76.12      680      286      686     15.1    24.4    44.0    46.0    43.1    44.1    47.1    46.8    47.2       8       39       35   7.318
08:46:40        20       60     50.0     2.00      108   13.22    3954      50.2     76.65      681      266      671     15.9    26.2    45.4    46.7    49.4    46.9    46.5    50.2    50.2       8       39       35   7.772
08:46:41        20       60     50.0     3.00      107   13.29    3907      49.9     76.30      679      257      672     15.7    26.2    44.0    45.2    47.0    46.5    45.5    47.9    47.9       8       39       35   8.241
08:46:42        20       60     50.0     4.00      108   13.20    3965      50.2     75.24      685      284      681     13.0    24.4    44.7    48.0    45.1    45.5    47.0    49.1    49.1       8       39       35   8.709
08:46:43        20       60     50.0     5.00      108   13.38    3889      50.1     76.48      669      249      665     11.6    24.3    43.5    45.7    43.3    45.4    47.7    49.2    49.2       8       39       35   9.174
08:46:44        20       60     50.0     6.00      109   13.19    3947      50.0     76.82      682      269      677     17.6    21.1    44.5    46.8    43.3    44.4    46.7    46.6    46.8       8       39       35   9.635
08:46:45        20       60     50.0     7.00      107   13.05    4011      50.0     74.42      694      284      698     14.6    21.9    46.1    47.4    47.6    50.6    50.8    49.9    50.8       8       40       35  10.094
08:46:46        20       60     50.0     8.00      106   13.18    3965      50.1     76.97      688      270      686     19.0    23.7    45.5    46.2    45.8    45.3    45.6    49.9    49.9       8       40       35  10.569
08:46:47        20       60     50.0     9.00      106   13.08    3993      49.9     74.82      686      287      659     13.7    24.3    48.2    48.1    44.9    44.3    47.7    45.6    48.2       8       40       35  11.037
08:46:48        20       60     50.0    10.00      107   13.11    3997      50.0     75.55      691      307      690     16.7    26.3    46.3    49.6    43.0    43.9    45.8    47.7    49.6       8       40       35  11.509
08:46:49        20       60     50.0    11.00      105   13.11    3986      50.0     75.01      687      291      667     14.2    22.7    47.3    51.3    46.8    45.3    49.0    47.7    51.3       8       40       35  11.978
08:46:50        20       60     50.0    12.00      107   13.16    3976      50.1     75.95      679      281      686     13.5    25.5    44.3    45.0    44.8    45.6    47.4    48.2    48.2       8       40       35  12.448
