Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 121
Z Slope: 0.905
Z Phase: -7.0
CI: 0.520
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:40:42        20       60     50.0     0.00      110    0.68     190       0.2      3.90       34       13       34      0.0    24.1    35.1    35.2    35.2    36.7    36.5    36.6    36.7       8       11       35   8.797
08:40:43        20       60     50.0     1.00      105   12.92    4036      50.0     74.89      695      306      689     16.3    25.2    44.4    45.5    44.8    41.7    43.4    43.3    45.5       8       11       35   8.314
08:40:44        20       60     50.0     2.00      103   12.96    4014      49.9     74.79      698      289      677     17.3    25.8    44.1    43.7    42.6    42.7    43.7    44.9    44.9       8       11       35   8.277
08:40:45        20       60     50.0     3.00      101   12.85    4078      50.1     74.13      694      302      710     13.2    25.6    43.6    46.9    47.1    44.2    46.7    47.2    47.2       8       11       35   8.276
08:40:46        20       60     50.0     4.00      100   12.77    4114      50.0     73.25      707      332      691     15.1    26.4    48.0    49.2    46.0    41.9    44.2    44.4    49.2       8       11       35   8.282
08:40:47        20       60     50.0     5.00      101   12.90    4043      49.9     75.26      693      282      692     16.9    27.1    42.3    44.0    39.1    42.2    43.2    44.5    44.5       8       11       35   8.284
08:40:48        20       60     50.0     6.00      103   12.87    4073      50.1     73.51      700      279      692     13.5    25.6    45.1    43.4    40.9    42.6    44.3    46.2    46.2       8       11       35   8.455
08:40:49        20       60     50.0     7.00      100   12.73    4140      50.0     73.42      712      286      717     17.0    24.4    46.0    47.7    42.9    43.5    45.3    46.4    47.7       8       11       35   8.938
08:40:50        20       60     50.0     8.00       99   12.78    4121      50.2     73.45      704      309      701     14.1    22.7    45.7    47.4    42.2    43.7    46.1    46.3    47.4       8       12       35   9.441
08:40:51        20       60     50.0     9.00       98   12.75    4089      49.5     72.88      703      308      706     15.0    23.4    50.3    50.4    41.4    41.6    44.2    44.1    50.6       8       12       35   9.939
08:40:52        20       60     50.0    10.00      101   12.85    4093      50.1     73.60      703      312      692     14.5    23.3    41.8    49.0    40.4    42.9    45.0    45.3    49.0       8       12       35  10.443
08:40:53        20       60     50.0    11.00       98   12.78    4119      50.0     73.86      708      326      710     17.0    25.6    41.5    48.1    41.2    42.9    45.4    43.5    48.1       8       12       35  10.936
08:40:54        20       60     50.0    12.00      100   12.78    4095      49.7     73.53      704      306      705     16.2    22.4    43.9    45.2    43.6    43.7    44.9    45.8    45.8       8       12       35  11.445
08:40:55        20       60     50.0    13.00      100   12.77    4112      49.9     73.57      706      314      703     15.8    24.4    44.5    46.3    45.2    44.7    46.0    46.7    46.7       8       12       35  11.947
08:40:56        20       60     50.0    14.00      100   12.91    4055      50.0     73.53      697      260      710     12.4    22.3    43.8    47.9    46.5    44.2    46.4    47.9    48.0       8       12       35  12.444
