Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 159
Z Slope: 0.890
Z Phase: -11.5
CI: 3.911
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:39:36        20       60     50.0     0.00      111    0.68     188       0.2      3.89       34       13       34      0.0    24.0    35.2    35.3    35.2    36.7    36.6    36.7    36.7       8        5       35   0.000
08:39:37        20       60     50.0     1.00      105   13.01    3981      49.9     75.38      686      249      696     15.3    23.0    43.4    43.7    42.4    45.2    47.2    47.2    47.2       8        5       35   0.105
08:39:38        20       60     50.0     2.00      107   13.15    3938      50.1     75.98      682      256      680     14.8    23.9    40.9    41.4    40.8    44.7    46.4    48.1    48.1       8        6       35   0.588
08:39:39        20       60     50.0     3.00      106   13.04    4004      50.3     75.62      693      284      692     16.4    26.7    41.5    43.1    40.4    44.3    45.8    47.3    47.3       8        6       35   1.051
08:39:40        20       60     50.0     4.00      105   12.95    4008      49.8     74.83      690      255      676     15.2    24.8    47.7    45.8    43.0    45.4    46.2    48.4    48.4       8        6       35   1.533
08:39:41        20       60     50.0     5.00      104   12.99    3995      49.9     76.81      689      229      678     19.6    23.7    48.6    46.5    43.8    45.2    46.1    49.3    49.3       8        6       35   2.008
08:39:42        20       60     50.0     6.00      104   12.98    4012      50.0     74.99      691      239      696     15.2    22.4    44.8    45.9    42.7    44.8    46.2    48.4    48.4       8        6       35   2.492
08:39:43        20       60     50.0     7.00      104   13.01    4004      50.0     74.97      688      232      674     14.1    23.7    45.3    44.1    41.2    43.6    44.7    47.0    47.0       8        6       35   2.972
08:39:44        20       60     50.0     8.00      103   12.96    4026      50.1     74.81      692      255      687     14.7    25.9    50.7    45.8    43.7    43.8    45.5    48.0    50.7       8        6       35   3.453
08:39:45        20       60     50.0     9.00      100   12.73    4117      49.9     73.45      705      322      706     15.5    24.9    51.5    49.4    51.1    44.0    46.2    47.6    51.5       8        7       35   3.940
