Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 128
Z Slope: 0.914
Z Phase: -7.6
CI: 0.899
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:45:02        20       60     50.0     0.00      118    0.68     174       0.2      3.88       32       11       32      0.0    24.3    34.6    34.8    34.7    36.3    36.1    36.2    36.3       8       31       33   5.955
08:45:03        20       60     50.0     1.00      111   13.19    3949      50.1     76.78      678      272      672     15.9    26.2    45.8    45.7    47.1    45.6    47.0    49.1    49.1       8       31       35   6.153
08:45:04        20       60     50.0     2.00      109   13.21    3948      50.1     76.66      679      293      695     16.0    25.4    45.0    46.2    48.7    43.9    47.0    47.7    48.7       8       31       35   6.613
08:45:05        20       60     50.0     3.00      108   13.07    4008      50.1     75.20      689      278      673     14.8    24.7    44.6    45.7    50.2    45.7    48.4    48.0    50.2       8       31       35   7.077
08:45:06        20       60     50.0     4.00      105   13.08    3978      49.9     74.68      683      285      688     12.1    26.0    44.2    44.8    50.2    46.8    48.6    48.3    50.2       8       31       35   7.546
08:45:07        20       60     50.0     5.00      108   13.25    3936      50.1     77.56      679      249      683     18.0    24.4    40.8    42.1    42.5    44.4    46.5    46.0    46.5       8       31       35   8.019
08:45:08        20       60     50.0     6.00      108   13.16    3959      50.0     75.77      688      287      675     16.5    23.9    45.2    47.1    46.0    46.1    47.2    48.4    48.4       8       31       35   8.482
08:45:09        20       60     50.0     7.00      107   13.20    3959      50.1     76.53      680      269      670     15.6    22.8    44.6    45.5    47.1    45.9    45.8    48.8    48.8       8       32       35   8.943
08:45:10        20       60     50.0     8.00      107   13.07    3998      50.0     75.87      687      308      676     16.5    22.0    46.6    47.4    52.2    45.3    49.3    47.0    52.2       8       32       35   9.409
08:45:11        20       60     50.0     9.00      106   13.11    3986      50.0     75.67      686      294      686     15.5    21.2    46.3    48.0    52.2    47.1    48.7    48.0    52.2       8       32       35   9.880
08:45:12        20       60     50.0    10.00      106   13.16    3973      50.1     75.84      685      296      678     15.3    20.9    47.9    47.7    53.6    46.3    46.4    48.3    53.6       8       32       35  10.353
08:45:13        20       60     50.0    11.00      106   13.08    4000      50.0     75.13      687      306      702     14.5    21.4    48.4    48.9    55.7    46.3    47.5    47.5    55.7       8       32       35  10.827
08:45:14        20       60     50.0    12.00      108   13.28    3932      50.2     76.34      683      249      668     15.7    26.6    41.0    40.9    42.2    43.7    46.1    44.8    46.1       8       32       35  11.298
08:45:15        20       60     50.0    13.00      108   13.18    3968      50.1     75.28      688      265      677     14.9    22.2    45.7    44.5    45.1    44.7    48.0    48.4    48.6       8       32       35  11.757
