Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 140
Z Slope: 0.897
Z Phase: -8.9
CI: 1.981
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:49:37        20       60     50.0     0.00      117    0.68     182       0.2      3.82       33       12       32      0.0    24.1    33.4    33.6    33.5    35.4    35.1    35.3    35.4       8       51       35   4.816
08:49:38        20       60     50.0     1.00      110   13.23    3942      50.1     76.31      679      248      686     15.0    25.9    40.4    41.6    41.6    44.3    47.9    44.2    47.9       8       51       35   4.816
08:49:39        20       60     50.0     2.00      108   13.22    3937      50.0     76.42      681      251      682     16.3    26.1    39.3    40.4    41.8    45.1    46.5    43.5    46.5       8       52       35   5.232
08:49:40        20       60     50.0     3.00      111   13.31    3910      50.0     78.13      680      230      649     19.8    23.6    40.6    41.8    41.3    49.0    51.9    47.1    51.9       8       52       35   5.698
08:49:41        20       60     50.0     4.00      108   13.28    3921      50.0     76.21      680      233      658     15.1    21.9    40.5    41.4    41.4    47.2    47.4    45.4    47.4       8       52       35   6.150
08:49:42        20       60     50.0     5.00      109   13.34    3910      50.2     76.87      673      249      683     13.9    22.6    40.5    41.4    41.5    48.2    47.7    46.1    48.2       8       52       36   6.618
08:49:43        20       60     50.0     6.00      107   13.07    3988      49.8     75.78      690      247      706     17.9    25.5    40.2    41.5    43.4    47.1    48.4    45.8    48.4       8       52       35   7.078
08:49:44        20       60     50.0     7.00      109   13.22    3951      50.1     77.03      683      280      673     17.8    23.6    40.0    40.8    41.6    45.5    44.8    44.3    45.5       8       52       35   7.548
08:49:45        20       60     50.0     8.00      109   13.28    3923      50.1     75.45      682      240      681     13.3    26.1    40.3    41.3    41.0    46.2    48.3    45.7    48.3       8       52       35   8.008
08:49:46        20       60     50.0     9.00      109   13.25    3917      49.9     76.62      672      254      670     14.5    24.9    41.0    43.1    45.1    50.6    51.5    46.4    51.5       8       53       35   8.467
08:49:47        20       60     50.0    10.00      110   13.23    3913      49.7     77.03      674      241      663     16.7    25.0    39.6    41.2    44.2    45.6    48.2    44.6    48.2       8       53       35   8.924
08:49:48        20       60     50.0    11.00      108   13.13    3986      50.0     75.01      691      268      690     15.0    20.5    41.7    42.5    43.5    46.2    46.2    46.0    46.2       8       53       35   9.377
