Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 149
Z Slope: 0.905
Z Phase: -8.7
CI: 2.181
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:47:15        20       60     50.0     0.00      120    0.68     167       0.2      3.88       32       11       32      0.0    24.0    33.9    34.1    33.9    36.0    35.9    35.9    36.0       8       43       35  11.152
08:47:16        20       60     50.0     1.00      112   13.34    3900      50.0     77.07      669      265      675     14.1    24.9    41.1    42.4    41.2    42.6    43.3    43.2    43.3       8       43       35  11.429
08:47:17        20       60     50.0     2.00      112   13.35    3923      50.3     76.56      678      277      685     14.4    24.9    42.4    41.5    42.0    44.1    42.9    44.2    44.2       8       43       35  11.882
08:47:18        20       60     50.0     3.00      110   13.34    3901      50.0     76.88      674      258      667     15.0    23.1    44.4    45.0    42.5    43.5    46.3    46.0    46.3       8       44       35  12.339
08:47:19        20       60     50.0     4.00      110   13.33    3910      50.0     77.65      670      257      674     15.8    20.6    44.8    43.9    42.0    45.1    45.1    45.7    45.7       8       44       35  12.799
08:47:20        20       60     50.0     5.00      107   13.37    3885      50.0     77.28      671      248      672     15.4    21.5    43.4    41.9    42.0    44.0    44.7    44.8    44.9       8       44       35  13.264
08:47:21        20       60     50.0     6.00      109   13.37    3898      50.1     77.75      679      247      677     18.5    24.6    44.2    42.6    43.1    43.4    44.3    44.2    44.4       8       44       35  13.727
08:47:22        20       60     50.0     7.00      108   13.23    3954      50.1     76.51      683      270      676     16.6    24.4    42.0    43.7    44.2    46.4    45.8    47.3    47.3       8       44       35  14.193
08:47:23        20       60     50.0     8.00      107   13.13    3988      50.0     76.03      688      266      694     16.9    27.2    44.8    46.8    46.3    48.6    48.1    49.6    49.6       8       44       35  14.652
08:47:24        20       60     50.0     9.00      108   13.41    3855      49.7     77.97      672      235      686     18.3    25.4    40.8    41.8    40.4    43.2    45.5    45.3    45.5       8       44       35  15.122
08:47:25        20       60     50.0    10.00      111   13.34    3903      50.0     78.98      677      253      689     20.8    24.0    44.2    44.1    40.8    44.5    45.2    45.6    45.6       8       44       35  15.579
08:47:26        20       60     50.0    11.00      109   13.19    3965      50.0     75.84      688      279      679     16.6    23.7    44.0    46.2    44.5    43.5    44.2    45.5    46.2       8       45       35  16.039
08:47:27        20       60     50.0    12.00      110   13.25    3948      50.0     76.36      685      276      684     16.8    26.1    44.1    44.3    42.7    43.3    45.7    44.1    45.7       8       45       35  16.501
08:47:28        20       60     50.0    13.00      110   13.28    3938      50.0     76.57      689      266      685     18.5    24.4    44.7    48.9    43.6    46.0    45.2    45.9    48.9       8       45       35  16.951
08:47:29        20       60     50.0    14.00      109   13.27    3955      50.2     77.76      680      271      695     18.3    22.4    43.9    47.7    43.9    45.8    43.7    45.5    47.7       8       45       35  17.412
08:47:30        20       60     50.0    15.00      107   13.25    3949      50.0     75.94      678      281      678     13.8    25.6    43.5    46.5    46.1    44.5    44.0    45.4    46.5       8       45       35  17.878
08:47:31        20       60     50.0    16.00      107   13.22    3942      49.9     75.90      675      282      684     13.4    21.2    44.4    47.0    43.8    44.3    44.3    46.2    47.0       8       45       35  18.348
08:47:32        20       60     50.0    17.00      106   13.25    3928      49.8     75.31      684      270      680     14.8    23.2    45.8    49.2    46.3    45.0    47.7    46.2    49.2       8       45       35  18.822
08:47:33        20       60     50.0    18.00      108   13.31    3927      50.1     75.03      678      282      686     10.3    22.1    44.3    43.9    42.4    43.6    43.0    44.0    44.3       8       46       35  19.287
