Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 130
Z Slope: 0.905
Z Phase: -8.9
CI: 1.629
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:50:11        20       60     50.0     0.00      116    0.68     178       0.2      3.92       32       11       34      0.0    24.1    35.2    35.3    35.3    36.6    36.4    36.6    36.6       8       54       36   9.983
08:50:12        20       60     50.0     1.00      109   13.24    3940      50.1     75.32      686      248      687     14.3    23.9    40.7    42.0    42.5    44.2    46.9    44.1    46.9       8       54       35  10.225
08:50:13        20       60     50.0     2.00      108   13.16    3963      50.0     76.20      685      261      681     16.7    22.8    41.9    42.9    44.0    46.2    49.7    46.2    49.7       8       54       36  10.683
08:50:14        20       60     50.0     3.00      109   13.29    3932      50.2     77.96      677      256      679     17.9    22.6    40.6    41.8    41.9    47.7    49.9    46.7    49.9       8       55       35  11.146
08:50:15        20       60     50.0     4.00      108   13.31    3908      50.0     76.49      679      241      671     15.8    23.3    40.6    41.8    41.4    47.8    50.6    46.8    50.6       8       55       35  11.609
08:50:16        20       60     50.0     5.00      109   13.17    3965      50.0     75.04      679      255      689     10.9    23.1    39.6    40.7    42.1    45.4    47.0    44.8    47.0       8       55       35  12.066
08:50:17        20       60     50.0     6.00      107   13.17    3962      50.0     76.00      684      278      692     15.9    25.4    40.4    41.3    43.7    47.9    46.6    46.4    47.9       8       55       35  12.531
08:50:18        20       60     50.0     7.00      106   13.18    3962      50.1     76.56      686      253      666     17.7    24.2    39.5    41.3    43.5    47.9    49.7    45.8    49.7       8       55       36  13.006
08:50:19        20       60     50.0     8.00      108   13.14    3981      50.1     75.51      689      250      667     15.9    25.4    40.2    41.9    42.8    46.8    49.8    45.9    49.8       8       55       35  13.464
08:50:20        20       60     50.0     9.00      108   13.09    3993      49.9     75.03      689      245      679     15.1    25.8    40.2    42.0    43.3    47.6    50.1    47.0    50.1       8       55       36  13.923
08:50:21        20       60     50.0    10.00      108   13.19    3963      50.0     76.72      685      280      680     17.8    21.8    40.5    41.5    43.4    47.2    47.1    45.7    47.3       8       55       36  14.329
08:50:22        20       60     50.0    11.00      107   13.12    4000      50.1     74.18      691      256      681     12.3    24.9    40.2    41.3    42.6    46.6    48.2    44.9    48.2       8       56       35  14.333
