Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 138
Z Slope: 0.901
Z Phase: -8.7
CI: 1.814
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:46:56        20       60     50.0     0.00      113    0.68     182       0.2      3.88       33       13       33      0.0    24.4    34.1    34.4    33.6    35.3    35.1    34.9    35.3       8       41       35  10.214
08:46:57        20       60     50.0     1.00      112   13.36    3902      50.1     77.76      669      242      669     15.6    27.0    40.3    40.8    42.9    43.1    41.2    42.8    43.1       8       41       35  10.023
08:46:58        20       60     50.0     2.00      108   13.11    3986      50.0     75.52      685      267      661     14.7    25.5    44.2    46.7    43.8    45.4    48.5    48.0    48.5       8       41       35  10.005
08:46:59        20       60     50.0     3.00      109   13.18    3965      50.0     76.59      681      283      684     16.3    24.9    44.8    46.9    43.6    43.9    46.6    46.3    46.9       8       41       35   9.996
08:47:00        20       60     50.0     4.00      107   13.10    3997      50.1     75.95      693      289      685     18.0    24.0    44.7    47.0    47.6    44.5    44.0    46.2    47.6       8       42       35   9.993
08:47:01        20       60     50.0     5.00      105   13.11    3990      50.0     75.09      689      293      689     15.0    23.4    44.6    46.5    49.6    45.5    43.6    46.7    49.6       8       42       35   9.994
08:47:02        20       60     50.0     6.00      105   13.19    3966      50.1     75.35      683      285      703     13.5    22.6    44.7    45.6    48.3    44.8    44.5    46.4    48.3       8       42       35  10.008
08:47:03        20       60     50.0     7.00      106   13.08    4009      50.0     75.45      691      298      693     16.3    24.4    44.9    48.5    47.5    44.8    45.4    46.8    48.5       8       42       35  10.003
08:47:04        20       60     50.0     8.00      104   13.06    4026      50.1     75.37      700      300      705     18.4    22.6    44.2    50.4    47.4    44.5    47.4    45.9    50.4       8       42       35  10.024
08:47:05        20       60     50.0     9.00      105   13.12    3984      49.9     76.89      681      310      688     17.7    27.5    42.9    47.2    46.7    44.1    45.1    45.5    47.2       8       42       35  10.046
08:47:06        20       60     50.0    10.00      105   13.05    4028      50.0     74.99      695      306      680     16.4    20.8    46.1    49.2    51.2    45.5    45.7    46.6    51.2       8       42       35  10.476
08:47:07        20       60     50.0    11.00      103   13.07    4024      50.0     74.59      699      297      684     16.2    27.8    47.5    50.5    52.3    45.5    45.1    47.7    52.3       8       42       35  10.956
