Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 161
Z Slope: 0.893
Z Phase: -10.8
CI: 3.679
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:50:47        20       60     50.0     0.00      116    0.68     178       0.2      3.87       33       11       34      0.0    24.1    34.1    34.2    34.2    35.8    35.6    35.7    35.8       8       58       35  10.718
08:50:48        20       60     50.0     1.00      109   13.20    3959      50.1     76.02      687      230      700     16.5    27.4    41.1    41.9    41.5    46.9    47.4    47.2    47.5       8       58       35  10.541
08:50:49        20       60     50.0     2.00      108   13.22    3952      50.1     75.29      685      234      668     13.8    20.3    41.0    42.3    41.4    46.7    51.2    48.2    51.2       8       59       35  10.859
08:50:50        20       60     50.0     3.00      106   13.18    3965      50.1     75.23      690      240      696     15.4    26.2    41.8    42.7    41.8    47.4    51.7    49.2    51.7       8       59       35  11.329
08:50:51        20       60     50.0     4.00      108   13.22    3946      49.9     77.54      685      232      686     20.0    23.5    40.5    41.7    40.9    46.5    50.5    48.0    50.5       8       59       35  11.794
08:50:52        20       60     50.0     5.00      108   13.23    3931      49.8     74.42      683      243      658     11.6    21.9    41.5    42.3    42.0    50.9    48.9    50.1    50.9       8       59       35  12.258
08:50:53        20       60     50.0     6.00      107   13.28    3922      50.0     76.84      681      239      672     17.2    21.8    42.6    43.0    43.1    50.6    47.6    51.2    51.3       8       59       35  12.728
08:50:54        20       60     50.0     7.00      107   13.13    3966      49.8     75.49      685      241      685     15.5    21.5    42.8    43.7    43.0    47.5    49.6    51.0    51.0       8       59       35  13.191
08:50:55        20       60     50.0     8.00      107   13.19    3953      49.9     75.88      688      227      690     17.2    22.5    41.4    42.6    42.0    47.6    51.7    49.1    51.7       8       59       35  13.661
08:50:56        20       60     50.0     9.00      109   13.31    3925      50.0     76.66      685      236      660     17.7    27.1    40.1    41.3    40.6    47.5    49.7    47.5    49.7       8       60       35  14.123
08:50:57        20       60     50.0    10.00      110   13.25    3941      50.0     75.32      679      245      686     12.1    21.1    40.3    41.7    40.9    48.6    50.8    48.0    50.8       8       60       35  14.579
