Ablation Date: 062123
Catheter S/N: 00010
Catheter Lot Number: 000000000222676
Control Mode: TEMPERATURE
Treatment State: RF_ON
Z Magnitude: 128
Z Slope: 0.914
Z Phase: -7.8
CI: 1.015
 Gen_Time Set_Time Set_Temp    Set_P Abl_Time    Imped    DC_V    DC_I    Meas_P    Meas_V      RFI     I_D1    IRet1    Phase    TRef     TC1     TC2     TC3     TC4     TC5     TC6   TComp SetFlow    Fluid    Pump1 HeatFct
 hh:mm:ss        s        C        W        s      Ohm       V      mA         W         V       mA       mA       mA      Deg       C       C       C       C       C       C       C       C  ml/min       ml      rpm   A^2 s
08:41:16        20       60     50.0     0.00      108    0.68     194       0.2      3.87       34       12       35      0.0    24.1    35.1    35.5    35.2    36.7    36.5    36.7    36.7       8       13       35   9.658
08:41:17        20       60     50.0     1.00      103   12.90    4057      50.0     74.62      700      273      708     16.8    25.8    42.2    46.9    40.2    41.7    43.2    45.0    46.9       8       14       35   9.414
08:41:18        20       60     50.0     2.00      102   12.81    4110      50.1     73.24      707      288      705     14.7    27.3    44.6    49.0    41.5    42.1    44.6    46.1    49.0       8       14       35   9.411
08:41:19        20       60     50.0     3.00      100   12.77    4117      50.0     73.95      701      313      706     15.2    24.0    48.4    48.9    48.4    43.0    45.9    46.4    48.9       8       14       35   9.402
08:41:20        20       60     50.0     4.00      101   12.87    4077      50.0     72.83      701      324      684     11.8    22.7    48.4    48.4    49.8    42.7    46.1    44.8    49.8       8       14       35   9.393
08:41:21        20       60     50.0     5.00      101   12.89    4077      50.1     75.05      703      249      718     18.1    26.6    41.8    43.0    40.0    42.7    45.0    45.6    45.6       8       14       35   9.384
08:41:22        20       60     50.0     6.00      101   12.76    4123      50.0     73.72      716      252      691     18.6    28.7    45.6    48.1    41.3    44.3    47.9    47.5    48.2       8       14       35   9.689
08:41:23        20       60     50.0     7.00       99   12.73    4131      49.9     73.03      713      307      715     16.7    21.1    43.2    50.1    41.9    44.4    47.8    46.8    50.1       8       14       35  10.183
08:41:24        20       60     50.0     8.00      101   12.81    4134      50.2     71.87      714      290      700     11.8    25.8    43.1    43.8    43.7    43.8    46.3    47.4    47.4       8       15       35  10.682
08:41:25        20       60     50.0     9.00      100   12.75    4152      50.1     71.94      706      329      740      9.5    24.7    44.1    45.4    46.1    42.5    44.9    45.2    46.1       8       15       35  11.177
08:41:26        20       60     50.0    10.00       99   12.70    4151      50.0     73.40      713      328      720     17.3    24.3    43.1    45.5    45.8    41.6    44.1    44.1    45.9       8       15       35  11.675
08:41:27        20       60     50.0    11.00       99   12.85    4104      50.2     73.97      712      252      709     17.7    23.1    41.7    44.7    45.6    42.4    44.3    44.7    45.6       8       15       35  12.178
